ds2: 1750 train / 35 val (0 short items)
step 0 loss 432.659 ema 432.659 val 261.116 0.14s/it
step 200 loss 40.514 ema 47.516 val 38.643 0.08s/it
step 400 loss 34.607 ema 36.645 val 33.117 0.08s/it
step 600 loss 30.587 ema 31.327 val 28.829 0.07s/it
step 800 loss 27.267 ema 27.732 val 25.922 0.07s/it
step 1000 loss 25.246 ema 26.063 val 24.649 0.07s/it
step 1200 loss 23.874 ema 24.739 val 24.247 0.07s/it
step 1400 loss 23.059 ema 23.719 val 23.773 0.07s/it
step 1600 loss 22.419 ema 22.950 val 22.403 0.07s/it
step 1800 loss 22.586 ema 22.767 val 22.024 0.07s/it
step 2000 loss 22.934 ema 22.317 val 22.563 0.07s/it
step 2200 loss 21.700 ema 21.877 val 21.427 0.07s/it
step 2400 loss 21.695 ema 21.505 val 21.283 0.07s/it
step 2600 loss 21.602 ema 21.217 val 21.362 0.07s/it
step 2800 loss 21.054 ema 21.440 val 20.435 0.07s/it
step 3000 loss 22.734 ema 21.231 val 21.713 0.07s/it
step 3200 loss 20.732 ema 21.196 val 21.205 0.07s/it
step 3400 loss 30.197 ema 21.485 val 29.435 0.07s/it
step 3600 loss 20.412 ema 20.691 val 20.549 0.07s/it
step 3800 loss 20.094 ema 20.274 val 19.958 0.07s/it
step 4000 loss 20.289 ema 20.340 val 20.205 0.07s/it
step 4200 loss 21.049 ema 20.169 val 20.478 0.07s/it
step 4400 loss 20.204 ema 20.266 val 20.127 0.07s/it
step 4600 loss 20.254 ema 20.124 val 20.252 0.07s/it
step 4800 loss 20.003 ema 19.638 val 19.889 0.07s/it
step 5000 loss 19.109 ema 19.764 val 20.312 0.07s/it
step 5200 loss 25.581 ema 21.668 val 24.577 0.07s/it
step 5400 loss 19.518 ema 20.125 val 19.480 0.07s/it
step 5600 loss 20.020 ema 19.535 val 19.824 0.07s/it
step 5800 loss 20.477 ema 19.895 val 19.821 0.07s/it
step 6000 loss 20.069 ema 20.750 val 19.924 0.07s/it
step 6200 loss 20.032 ema 19.814 val 20.491 0.07s/it
step 6400 loss 19.958 ema 19.902 val 19.513 0.07s/it
step 6600 loss 19.504 ema 19.472 val 19.703 0.07s/it
step 6800 loss 19.128 ema 19.390 val 19.251 0.07s/it
step 7000 loss 19.121 ema 19.063 val 19.604 0.07s/it
step 7200 loss 19.660 ema 19.297 val 21.096 0.07s/it
step 7400 loss 18.687 ema 18.951 val 18.905 0.07s/it
step 7600 loss 19.056 ema 19.159 val 18.965 0.07s/it
step 7800 loss 18.951 ema 18.955 val 18.499 0.07s/it
step 8000 loss 18.394 ema 18.797 val 18.549 0.07s/it
step 8200 loss 19.142 ema 19.088 val 18.910 0.07s/it
step 8400 loss 19.295 ema 19.968 val 19.996 0.07s/it
step 8600 loss 19.059 ema 19.022 val 18.567 0.07s/it
step 8800 loss 18.697 ema 18.873 val 18.929 0.07s/it
step 9000 loss 18.873 ema 18.854 val 19.199 0.07s/it
step 9200 loss 19.321 ema 19.007 val 18.995 0.07s/it
step 9400 loss 18.327 ema 18.625 val 19.265 0.07s/it
step 9600 loss 18.203 ema 18.665 val 18.738 0.07s/it
step 9800 loss 18.481 ema 18.528 val 18.610 0.07s/it
step 10000 loss 18.558 ema 18.582 val 18.416 0.07s/it
step 10200 loss 18.981 ema 18.701 val 19.475 0.07s/it
step 10400 loss 18.883 ema 18.793 val 19.273 0.07s/it
step 10600 loss 17.732 ema 18.450 val 19.131 0.07s/it
step 10800 loss 18.793 ema 18.349 val 19.255 0.07s/it
step 11000 loss 18.077 ema 18.305 val 18.243 0.07s/it
step 11200 loss 19.084 ema 18.460 val 19.031 0.07s/it
step 11400 loss 18.634 ema 18.453 val 19.468 0.07s/it
step 11600 loss 18.976 ema 18.299 val 19.132 0.07s/it
step 11800 loss 18.330 ema 18.384 val 18.144 0.07s/it
step 12000 loss 18.519 ema 18.353 val 18.579 0.07s/it
step 12200 loss 18.212 ema 18.238 val 18.552 0.07s/it
step 12400 loss 18.013 ema 18.310 val 18.499 0.07s/it
step 12600 loss 17.985 ema 18.091 val 19.038 0.07s/it
step 12800 loss 18.351 ema 18.054 val 18.448 0.07s/it
step 13000 loss 17.855 ema 18.264 val 17.891 0.07s/it
step 13200 loss 18.372 ema 18.357 val 18.608 0.07s/it
step 13400 loss 18.060 ema 18.102 val 18.477 0.07s/it
step 13600 loss 18.020 ema 18.003 val 18.316 0.07s/it
step 13800 loss 18.568 ema 18.176 val 18.221 0.07s/it
step 14000 loss 17.731 ema 18.058 val 18.526 0.07s/it
step 14200 loss 17.804 ema 17.930 val 18.303 0.07s/it
step 14400 loss 18.198 ema 18.069 val 18.228 0.07s/it
step 14600 loss 18.087 ema 17.886 val 18.341 0.07s/it
step 14800 loss 18.183 ema 17.903 val 18.532 0.07s/it
step 15000 loss 18.512 ema 18.208 val 18.305 0.07s/it
step 15200 loss 19.552 ema 18.218 val 19.919 0.07s/it
step 15400 loss 17.921 ema 17.991 val 18.620 0.07s/it
step 15600 loss 17.461 ema 17.754 val 17.788 0.07s/it
step 15800 loss 17.514 ema 17.786 val 17.925 0.07s/it
step 16000 loss 17.965 ema 17.720 val 18.261 0.07s/it
step 16200 loss 17.820 ema 17.937 val 18.319 0.07s/it
step 16400 loss 18.420 ema 17.824 val 17.958 0.07s/it
step 16600 loss 18.796 ema 17.847 val 18.389 0.07s/it
step 16800 loss 17.568 ema 17.902 val 18.853 0.07s/it
step 17000 loss 18.333 ema 17.762 val 18.357 0.07s/it
step 17200 loss 17.940 ema 18.526 val 18.950 0.07s/it
step 17400 loss 17.961 ema 17.857 val 17.791 0.07s/it
step 17600 loss 18.101 ema 17.849 val 18.743 0.07s/it
step 17800 loss 17.570 ema 17.867 val 18.168 0.07s/it
step 18000 loss 17.315 ema 17.711 val 18.654 0.07s/it
step 18200 loss 18.001 ema 17.661 val 18.121 0.07s/it
step 18400 loss 18.157 ema 18.242 val 18.794 0.07s/it
step 18600 loss 18.171 ema 17.748 val 18.465 0.07s/it
step 18800 loss 17.978 ema 17.672 val 18.686 0.07s/it
step 19000 loss 17.632 ema 17.572 val 17.730 0.07s/it
step 19200 loss 17.538 ema 17.562 val 18.053 0.07s/it
step 19400 loss 17.873 ema 17.585 val 17.833 0.07s/it
step 19600 loss 17.693 ema 17.388 val 17.607 0.07s/it
step 19800 loss 17.793 ema 17.743 val 18.187 0.07s/it
step 20000 loss 18.229 ema 17.497 val 18.007 0.07s/it
step 20200 loss 17.520 ema 17.733 val 18.106 0.07s/it
step 20400 loss 17.326 ema 17.449 val 17.973 0.07s/it
step 20600 loss 18.104 ema 17.929 val 18.401 0.07s/it
step 20800 loss 17.267 ema 17.498 val 17.923 0.07s/it
step 21000 loss 17.478 ema 17.527 val 17.975 0.07s/it
step 21200 loss 16.666 ema 17.450 val 18.276 0.07s/it
step 21400 loss 17.152 ema 17.513 val 18.084 0.07s/it
step 21600 loss 16.852 ema 17.333 val 17.717 0.07s/it
step 21800 loss 17.533 ema 17.361 val 17.423 0.07s/it
step 22000 loss 17.653 ema 17.354 val 18.385 0.07s/it
step 22200 loss 17.413 ema 17.512 val 18.371 0.07s/it
step 22400 loss 16.900 ema 17.258 val 17.633 0.07s/it
step 22600 loss 17.547 ema 17.141 val 17.681 0.07s/it
step 22800 loss 17.153 ema 17.253 val 17.489 0.07s/it
step 23000 loss 17.773 ema 17.255 val 17.283 0.07s/it
step 23200 loss 17.435 ema 17.342 val 18.342 0.07s/it
step 23400 loss 16.801 ema 17.276 val 17.762 0.07s/it
step 23600 loss 17.137 ema 17.091 val 18.026 0.07s/it
step 23800 loss 17.075 ema 17.367 val 17.815 0.07s/it
step 24000 loss 16.878 ema 17.268 val 17.586 0.07s/it
step 24200 loss 17.677 ema 17.193 val 17.403 0.07s/it
step 24400 loss 17.112 ema 17.120 val 17.442 0.07s/it
step 24600 loss 17.384 ema 17.368 val 18.042 0.07s/it
step 24800 loss 17.089 ema 17.392 val 18.010 0.07s/it
step 25000 loss 17.437 ema 17.200 val 18.157 0.07s/it
step 25200 loss 17.507 ema 17.442 val 17.887 0.07s/it
