ds2: 1750 train / 35 val (0 short items)
step 139800 loss 15.448 ema 15.903 val 17.087 0.06s/it
step 140000 loss 15.848 ema 15.728 val 16.961 0.06s/it
step 140200 loss 16.002 ema 15.718 val 16.819 0.06s/it
step 140400 loss 15.736 ema 15.682 val 17.203 0.06s/it
step 140600 loss 15.347 ema 15.683 val 17.268 0.06s/it
step 140800 loss 15.690 ema 15.688 val 16.580 0.06s/it
step 141000 loss 15.652 ema 15.742 val 17.315 0.06s/it
step 141200 loss 15.740 ema 15.818 val 16.908 0.06s/it
step 141400 loss 15.555 ema 15.701 val 17.290 0.06s/it
step 141600 loss 15.951 ema 15.653 val 17.040 0.06s/it
step 141800 loss 15.743 ema 15.703 val 16.837 0.06s/it
step 142000 loss 15.914 ema 15.680 val 17.445 0.06s/it
step 142200 loss 16.111 ema 15.687 val 16.887 0.06s/it
step 142400 loss 15.917 ema 15.727 val 17.220 0.06s/it
step 142600 loss 15.909 ema 15.730 val 16.695 0.06s/it
step 142800 loss 15.651 ema 15.770 val 17.241 0.06s/it
step 143000 loss 15.965 ema 15.659 val 17.123 0.06s/it
step 143200 loss 15.650 ema 15.681 val 17.111 0.06s/it
step 143400 loss 15.852 ema 15.802 val 17.137 0.06s/it
step 143600 loss 15.815 ema 15.695 val 17.639 0.06s/it
step 143800 loss 15.565 ema 15.648 val 16.715 0.06s/it
step 144000 loss 15.490 ema 15.693 val 17.064 0.06s/it
step 144200 loss 15.576 ema 15.758 val 17.230 0.06s/it
step 144400 loss 15.377 ema 15.917 val 16.828 0.06s/it
step 144600 loss 15.963 ema 15.817 val 17.118 0.06s/it
step 144800 loss 15.711 ema 15.744 val 17.015 0.06s/it
step 145000 loss 15.680 ema 15.693 val 17.066 0.06s/it
step 145200 loss 15.709 ema 15.628 val 17.115 0.06s/it
step 145400 loss 15.636 ema 15.599 val 17.698 0.06s/it
step 145600 loss 15.675 ema 15.657 val 16.911 0.06s/it
step 145800 loss 16.081 ema 15.653 val 17.403 0.06s/it
step 146000 loss 15.458 ema 15.607 val 16.935 0.06s/it
step 146200 loss 15.503 ema 15.648 val 17.419 0.06s/it
step 146400 loss 15.787 ema 15.641 val 17.198 0.06s/it
step 146600 loss 15.520 ema 15.644 val 17.200 0.06s/it
step 146800 loss 15.512 ema 15.629 val 16.967 0.06s/it
step 147000 loss 15.709 ema 15.649 val 17.077 0.06s/it
step 147200 loss 15.755 ema 15.644 val 17.425 0.06s/it
step 147400 loss 15.897 ema 15.704 val 17.595 0.06s/it
step 147600 loss 15.759 ema 15.835 val 16.676 0.06s/it
step 147800 loss 15.479 ema 15.638 val 17.142 0.06s/it
step 148000 loss 15.698 ema 15.646 val 16.760 0.06s/it
