ds2: 1750 train / 35 val (120 short items)
step 108000 loss 15.142 ema 15.142 val 16.671 0.13s/it
step 108200 loss 15.808 ema 15.844 val 17.205 0.08s/it
step 108400 loss 16.420 ema 15.755 val 18.023 0.08s/it
step 108600 loss 15.419 ema 15.577 val 17.019 0.08s/it
step 108800 loss 15.460 ema 15.402 val 16.772 0.08s/it
step 109000 loss 15.679 ema 15.381 val 16.659 0.08s/it
step 109200 loss 15.260 ema 15.398 val 16.635 0.08s/it
step 109400 loss 15.471 ema 15.350 val 16.880 0.08s/it
step 109600 loss 15.259 ema 15.290 val 16.919 0.08s/it
step 109800 loss 15.232 ema 15.250 val 16.921 0.08s/it
step 110000 loss 15.573 ema 15.196 val 17.021 0.08s/it
step 110200 loss 15.471 ema 15.206 val 16.411 0.08s/it
step 110400 loss 15.276 ema 15.222 val 16.867 0.08s/it
step 110600 loss 15.453 ema 15.219 val 16.754 0.08s/it
step 110800 loss 15.655 ema 15.230 val 16.344 0.08s/it
step 111000 loss 14.952 ema 15.171 val 16.353 0.08s/it
step 111200 loss 15.138 ema 15.215 val 16.691 0.08s/it
step 111400 loss 15.452 ema 15.205 val 16.545 0.08s/it
step 111600 loss 14.849 ema 15.208 val 17.060 0.08s/it
step 111800 loss 15.181 ema 15.221 val 16.486 0.08s/it
step 112000 loss 14.937 ema 15.232 val 16.262 0.08s/it
step 112200 loss 15.095 ema 15.268 val 16.795 0.08s/it
step 112400 loss 15.381 ema 15.230 val 17.053 0.08s/it
step 112600 loss 14.915 ema 15.162 val 16.981 0.08s/it
step 112800 loss 14.608 ema 15.185 val 17.312 0.08s/it
step 113000 loss 14.741 ema 15.135 val 16.073 0.08s/it
step 113200 loss 14.899 ema 15.142 val 16.578 0.08s/it
step 113400 loss 15.267 ema 15.262 val 16.659 0.08s/it
step 113600 loss 15.167 ema 15.086 val 16.218 0.08s/it
step 113800 loss 15.700 ema 15.448 val 16.229 0.08s/it
step 114000 loss 14.947 ema 15.296 val 16.677 0.08s/it
step 114200 loss 14.886 ema 15.240 val 16.775 0.08s/it
step 114400 loss 14.793 ema 15.162 val 16.566 0.08s/it
step 114600 loss 15.661 ema 15.095 val 17.137 0.08s/it
step 114800 loss 15.902 ema 15.237 val 16.807 0.08s/it
step 115000 loss 14.974 ema 15.211 val 16.885 0.08s/it
step 115200 loss 15.496 ema 15.220 val 16.699 0.08s/it
step 115400 loss 15.017 ema 15.183 val 16.363 0.08s/it
step 115600 loss 15.821 ema 15.116 val 16.743 0.08s/it
step 115800 loss 15.058 ema 15.086 val 16.594 0.08s/it
step 116000 loss 15.068 ema 15.064 val 16.618 0.08s/it
step 116200 loss 15.350 ema 15.090 val 16.796 0.08s/it
step 116400 loss 14.920 ema 15.214 val 16.748 0.08s/it
step 116600 loss 14.942 ema 15.238 val 16.496 0.08s/it
step 116800 loss 14.684 ema 15.098 val 16.549 0.08s/it
step 117000 loss 15.290 ema 15.168 val 17.002 0.08s/it
step 117200 loss 15.072 ema 15.171 val 16.614 0.08s/it
step 117400 loss 15.396 ema 15.111 val 16.576 0.08s/it
step 117600 loss 15.160 ema 15.100 val 16.917 0.08s/it
step 117800 loss 15.063 ema 15.282 val 16.779 0.08s/it
step 118000 loss 15.387 ema 15.092 val 16.608 0.08s/it
step 118200 loss 15.002 ema 15.228 val 16.573 0.08s/it
step 118400 loss 15.063 ema 15.093 val 16.880 0.08s/it
step 118600 loss 15.275 ema 15.160 val 16.650 0.08s/it
step 118800 loss 14.937 ema 15.034 val 16.286 0.08s/it
step 119000 loss 15.109 ema 15.142 val 16.807 0.08s/it
step 119200 loss 14.946 ema 15.026 val 16.819 0.08s/it
step 119400 loss 14.579 ema 15.061 val 16.621 0.08s/it
step 119600 loss 15.400 ema 15.148 val 16.632 0.08s/it
step 119800 loss 15.534 ema 15.094 val 16.916 0.08s/it
step 120000 loss 15.185 ema 15.128 val 16.700 0.08s/it
step 120200 loss 15.340 ema 15.077 val 16.813 0.08s/it
step 120400 loss 15.270 ema 15.117 val 17.344 0.08s/it
step 120600 loss 14.570 ema 15.029 val 16.333 0.08s/it
step 120800 loss 15.043 ema 15.071 val 16.304 0.08s/it
step 121000 loss 15.159 ema 15.043 val 16.188 0.08s/it
step 121200 loss 15.185 ema 15.087 val 16.247 0.08s/it
step 121400 loss 15.284 ema 15.121 val 17.049 0.08s/it
step 121600 loss 15.135 ema 15.091 val 16.598 0.08s/it
step 121800 loss 15.270 ema 15.063 val 17.446 0.08s/it
step 122000 loss 15.256 ema 15.110 val 17.117 0.08s/it
step 122200 loss 14.895 ema 15.149 val 16.385 0.08s/it
step 122400 loss 14.671 ema 15.103 val 16.371 0.08s/it
step 122600 loss 14.876 ema 15.036 val 16.636 0.08s/it
step 122800 loss 14.896 ema 15.071 val 17.474 0.08s/it
step 123000 loss 15.324 ema 15.036 val 16.720 0.09s/it
step 123200 loss 14.863 ema 14.989 val 16.545 0.09s/it
step 123400 loss 14.941 ema 15.001 val 16.814 0.09s/it
step 123600 loss 14.934 ema 15.006 val 16.955 0.09s/it
step 123800 loss 15.083 ema 15.039 val 16.506 0.09s/it
step 124000 loss 15.066 ema 15.041 val 16.460 0.09s/it
step 124200 loss 15.124 ema 15.006 val 17.407 0.09s/it
step 124400 loss 14.780 ema 14.955 val 16.594 0.09s/it
step 124600 loss 15.108 ema 15.021 val 16.888 0.09s/it
step 124800 loss 14.865 ema 15.113 val 16.509 0.09s/it
step 125000 loss 15.052 ema 15.075 val 16.075 0.09s/it
step 125200 loss 15.763 ema 15.117 val 17.145 0.09s/it
step 125400 loss 14.828 ema 15.057 val 16.449 0.09s/it
step 125600 loss 15.220 ema 15.107 val 16.589 0.09s/it
step 125800 loss 14.858 ema 15.023 val 16.291 0.09s/it
step 126000 loss 14.962 ema 15.041 val 16.889 0.09s/it
step 126200 loss 14.879 ema 15.064 val 16.371 0.09s/it
step 126400 loss 14.550 ema 15.065 val 16.270 0.09s/it
step 126600 loss 14.715 ema 15.023 val 16.605 0.09s/it
step 126800 loss 15.380 ema 15.182 val 16.810 0.09s/it
step 127000 loss 14.983 ema 15.078 val 16.636 0.09s/it
step 127200 loss 14.749 ema 14.991 val 16.521 0.09s/it
step 127400 loss 14.687 ema 14.992 val 16.202 0.09s/it
step 127600 loss 14.807 ema 15.047 val 16.460 0.09s/it
step 127800 loss 14.837 ema 14.976 val 16.828 0.09s/it
step 128000 loss 14.534 ema 14.918 val 16.357 0.09s/it
step 128200 loss 15.111 ema 15.011 val 16.661 0.09s/it
step 128400 loss 14.901 ema 15.032 val 16.486 0.09s/it
step 128600 loss 14.696 ema 15.002 val 16.407 0.09s/it
step 128800 loss 14.924 ema 15.003 val 17.030 0.09s/it
step 129000 loss 14.959 ema 14.969 val 16.913 0.09s/it
step 129200 loss 14.947 ema 14.958 val 17.130 0.09s/it
step 129400 loss 15.349 ema 14.987 val 16.870 0.09s/it
step 129600 loss 15.224 ema 14.998 val 17.035 0.09s/it
step 129800 loss 14.735 ema 14.940 val 16.437 0.09s/it
step 130000 loss 14.400 ema 14.922 val 16.300 0.09s/it
step 130200 loss 15.020 ema 15.143 val 17.021 0.09s/it
step 130400 loss 14.972 ema 15.007 val 15.989 0.09s/it
step 130600 loss 15.165 ema 15.001 val 16.714 0.09s/it
step 130800 loss 14.575 ema 15.064 val 16.685 0.09s/it
step 131000 loss 15.110 ema 15.073 val 16.790 0.09s/it
step 131200 loss 15.279 ema 14.956 val 16.867 0.09s/it
step 131400 loss 14.503 ema 15.073 val 16.737 0.09s/it
step 131600 loss 15.093 ema 15.048 val 16.383 0.09s/it
step 131800 loss 14.974 ema 14.991 val 16.740 0.09s/it
step 132000 loss 14.481 ema 15.006 val 17.299 0.09s/it
step 132200 loss 14.978 ema 15.002 val 16.669 0.09s/it
step 132400 loss 15.009 ema 14.947 val 16.746 0.09s/it
step 132600 loss 15.006 ema 14.915 val 17.026 0.09s/it
step 132800 loss 15.079 ema 14.912 val 16.365 0.09s/it
step 133000 loss 15.062 ema 15.024 val 16.275 0.09s/it
step 133200 loss 15.226 ema 14.956 val 16.164 0.09s/it
step 133400 loss 15.069 ema 15.098 val 17.078 0.09s/it
step 133600 loss 15.097 ema 14.950 val 16.996 0.09s/it
step 133800 loss 15.189 ema 14.898 val 16.764 0.09s/it
step 134000 loss 15.092 ema 14.936 val 16.413 0.09s/it
step 134200 loss 14.771 ema 14.964 val 17.263 0.09s/it
step 134400 loss 14.570 ema 15.053 val 16.216 0.09s/it
step 134600 loss 14.571 ema 14.949 val 16.492 0.09s/it
step 134800 loss 15.250 ema 15.004 val 16.834 0.09s/it
step 135000 loss 14.754 ema 15.023 val 16.533 0.09s/it
step 135200 loss 14.578 ema 14.933 val 16.232 0.09s/it
step 135400 loss 14.955 ema 14.891 val 16.072 0.09s/it
step 135600 loss 15.223 ema 14.960 val 16.722 0.09s/it
step 135800 loss 16.068 ema 14.953 val 16.839 0.09s/it
step 136000 loss 14.449 ema 15.002 val 16.465 0.09s/it
step 136200 loss 14.798 ema 14.883 val 16.602 0.09s/it
step 136400 loss 14.616 ema 14.954 val 16.068 0.09s/it
step 136600 loss 14.856 ema 14.919 val 16.949 0.09s/it
step 136800 loss 14.640 ema 14.956 val 16.822 0.09s/it
step 137000 loss 14.490 ema 14.911 val 16.212 0.09s/it
step 137200 loss 14.908 ema 14.933 val 16.985 0.09s/it
step 137400 loss 14.884 ema 14.896 val 16.780 0.09s/it
step 137600 loss 14.643 ema 14.901 val 16.705 0.09s/it
step 137800 loss 15.240 ema 15.060 val 16.838 0.09s/it
step 138000 loss 15.695 ema 14.935 val 16.788 0.09s/it
step 138200 loss 14.746 ema 15.032 val 16.395 0.09s/it
step 138400 loss 15.080 ema 14.976 val 16.619 0.09s/it
step 138600 loss 15.210 ema 14.917 val 16.277 0.09s/it
step 138800 loss 14.537 ema 14.874 val 16.835 0.09s/it
step 139000 loss 15.214 ema 14.952 val 16.538 0.09s/it
step 139200 loss 15.114 ema 14.893 val 16.662 0.09s/it
step 139400 loss 15.022 ema 14.935 val 16.209 0.09s/it
step 139600 loss 14.216 ema 14.892 val 16.389 0.09s/it
step 139800 loss 14.807 ema 14.906 val 16.466 0.09s/it
DONE
