ds2: 1750 train / 35 val (120 short items)
step 0 mel 0.0000 ema 0.0000 gloss 5.00 1.14s/it
step 100 mel 0.0000 ema 0.0000 gloss 1.69 1.13s/it
step 200 mel 0.0000 ema 0.0000 gloss 1.54 1.12s/it
step 300 mel 0.0000 ema 0.0000 gloss 1.25 1.10s/it
step 400 mel 0.0000 ema 0.0000 gloss 1.27 1.10s/it
step 500 mel 0.0000 ema 0.0000 gloss 1.16 1.09s/it
step 600 mel 0.0000 ema 0.0000 gloss 1.09 1.09s/it
step 700 mel 0.0000 ema 0.0000 gloss 0.92 1.09s/it
step 800 mel 0.0000 ema 0.0000 gloss 0.81 1.09s/it
step 900 mel 0.0000 ema 0.0000 gloss 1.17 1.09s/it
step 1000 mel 0.0000 ema 0.0000 gloss 1.03 1.08s/it
step 1100 mel 0.0000 ema 0.0000 gloss 1.09 1.08s/it
step 1200 mel 0.0000 ema 0.0000 gloss 0.73 1.08s/it
step 1300 mel 0.0000 ema 0.0000 gloss 1.19 1.08s/it
step 1400 mel 0.0000 ema 0.0000 gloss 0.84 1.08s/it
step 1500 mel 0.0000 ema 0.0000 gloss 0.91 1.09s/it
step 1600 mel 0.0000 ema 0.0000 gloss 0.80 1.09s/it
step 1700 mel 0.0000 ema 0.0000 gloss 0.91 1.09s/it
step 1800 mel 0.0000 ema 0.0000 gloss 1.33 1.10s/it
step 1900 mel 0.0000 ema 0.0000 gloss 0.98 1.10s/it
step 2000 mel 0.0000 ema 0.0000 gloss 0.87 1.10s/it
step 2100 mel 0.0000 ema 0.0000 gloss 0.63 1.10s/it
step 2200 mel 0.0000 ema 0.0000 gloss 0.80 1.10s/it
step 2300 mel 0.0000 ema 0.0000 gloss 0.95 1.10s/it
step 2400 mel 0.0000 ema 0.0000 gloss 0.66 1.10s/it
step 2500 mel 0.0000 ema 0.0000 gloss 0.81 1.11s/it
step 2600 mel 0.0000 ema 0.0000 gloss 0.81 1.11s/it
step 2700 mel 0.0000 ema 0.0000 gloss 0.69 1.11s/it
step 2800 mel 0.0000 ema 0.0000 gloss 0.65 1.11s/it
step 2900 mel 0.0000 ema 0.0000 gloss 0.65 1.11s/it
step 3000 mel 0.5037 ema 0.0101 gloss 34.07 1.11s/it
step 3100 mel 0.5224 ema 0.4499 gloss 31.05 1.12s/it
step 3200 mel 0.4752 ema 0.4933 gloss 30.06 1.12s/it
step 3300 mel 0.4938 ema 0.4873 gloss 31.14 1.13s/it
step 3400 mel 0.4534 ema 0.4668 gloss 31.10 1.13s/it
step 3500 mel 0.4531 ema 0.4550 gloss 29.97 1.13s/it
step 3600 mel 0.4620 ema 0.4548 gloss 30.91 1.14s/it
step 3700 mel 0.4414 ema 0.4508 gloss 28.82 1.14s/it
step 3800 mel 0.4776 ema 0.4482 gloss 29.86 1.15s/it
step 3900 mel 0.4315 ema 0.4481 gloss 29.98 1.15s/it
step 4000 mel 0.4259 ema 0.4459 gloss 29.79 1.15s/it
step 4100 mel 0.4274 ema 0.4426 gloss 29.33 1.16s/it
step 4200 mel 0.4381 ema 0.4448 gloss 30.00 1.16s/it
step 4300 mel 0.4351 ema 0.4437 gloss 30.32 1.16s/it
step 4400 mel 0.4477 ema 0.4437 gloss 30.85 1.16s/it
step 4500 mel 0.4633 ema 0.4430 gloss 29.81 1.17s/it
step 4600 mel 0.4375 ema 0.4414 gloss 29.12 1.17s/it
step 4700 mel 0.4152 ema 0.4419 gloss 29.22 1.17s/it
step 4800 mel 0.4454 ema 0.4415 gloss 27.98 1.17s/it
step 4900 mel 0.4273 ema 0.4391 gloss 29.04 1.18s/it
