dsd: 609 train / 12 val
step 23600 l1 0.3128 val 0.3605 0.10s/it
step 23800 l1 0.3277 val 0.3161 0.10s/it
step 24000 l1 0.3213 val 0.3653 0.10s/it
step 24200 l1 0.3285 val 0.3407 0.10s/it
step 24400 l1 0.3182 val 0.3918 0.10s/it
step 24600 l1 0.3262 val 0.3605 0.10s/it
step 24800 l1 0.3057 val 0.3402 0.10s/it
step 25000 l1 0.3262 val 0.3387 0.10s/it
step 25200 l1 0.3130 val 0.3894 0.10s/it
step 25400 l1 0.3254 val 0.3372 0.10s/it
step 25600 l1 0.3112 val 0.3609 0.10s/it
step 25800 l1 0.3056 val 0.3624 0.10s/it
step 26000 l1 0.3099 val 0.3433 0.10s/it
step 26200 l1 0.3162 val 0.3406 0.10s/it
step 26400 l1 0.3127 val 0.3164 0.10s/it
step 26600 l1 0.3059 val 0.3064 0.10s/it
step 26800 l1 0.3112 val 0.3880 0.10s/it
step 27000 l1 0.3045 val 0.3360 0.10s/it
step 27200 l1 0.3176 val 0.3621 0.10s/it
step 27400 l1 0.3036 val 0.3688 0.10s/it
step 27600 l1 0.3091 val 0.3104 0.10s/it
step 27800 l1 0.3074 val 0.3621 0.10s/it
step 28000 l1 0.3013 val 0.3404 0.10s/it
step 28200 l1 0.3034 val 0.3595 0.10s/it
step 28400 l1 0.3131 val 0.3369 0.10s/it
step 28600 l1 0.3044 val 0.3070 0.10s/it
step 28800 l1 0.3084 val 0.2999 0.10s/it
step 29000 l1 0.3147 val 0.3281 0.10s/it
step 29200 l1 0.3198 val 0.3401 0.10s/it
step 29400 l1 0.3158 val 0.3302 0.10s/it
step 29600 l1 0.3122 val 0.3122 0.10s/it
step 29800 l1 0.3105 val 0.3077 0.10s/it
step 30000 l1 0.3046 val 0.3876 0.10s/it
step 30200 l1 0.3111 val 0.3136 0.10s/it
step 30400 l1 0.3067 val 0.3654 0.10s/it
step 30600 l1 0.3022 val 0.3871 0.10s/it
step 30800 l1 0.3123 val 0.3384 0.10s/it
step 31000 l1 0.3104 val 0.3574 0.10s/it
step 31200 l1 0.3040 val 0.3106 0.10s/it
step 31400 l1 0.2990 val 0.3091 0.10s/it
step 31600 l1 0.3056 val 0.3026 0.10s/it
step 31800 l1 0.3001 val 0.3365 0.10s/it
step 32000 l1 0.2970 val 0.3319 0.10s/it
step 32200 l1 0.3168 val 0.3539 0.10s/it
step 32400 l1 0.3078 val 0.3017 0.10s/it
step 32600 l1 0.3070 val 0.4125 0.10s/it
step 32800 l1 0.3079 val 0.3334 0.10s/it
step 33000 l1 0.2975 val 0.3571 0.10s/it
step 33200 l1 0.3089 val 0.3052 0.10s/it
step 33400 l1 0.2960 val 0.3536 0.10s/it
step 33600 l1 0.3125 val 0.3554 0.10s/it
step 33800 l1 0.2956 val 0.3587 0.10s/it
step 34000 l1 0.2995 val 0.3013 0.10s/it
step 34200 l1 0.3076 val 0.3637 0.10s/it
step 34400 l1 0.2958 val 0.3815 0.10s/it
step 34600 l1 0.3091 val 0.3528 0.10s/it
step 34800 l1 0.2964 val 0.3314 0.10s/it
step 35000 l1 0.3056 val 0.3825 0.10s/it
step 35200 l1 0.3075 val 0.2992 0.10s/it
step 35400 l1 0.3039 val 0.3568 0.10s/it
step 35600 l1 0.3058 val 0.3054 0.10s/it
step 35800 l1 0.2969 val 0.3529 0.10s/it
step 36000 l1 0.2998 val 0.3808 0.10s/it
step 36200 l1 0.3017 val 0.3540 0.10s/it
step 36400 l1 0.3020 val 0.3862 0.10s/it
step 36600 l1 0.3064 val 0.3308 0.10s/it
step 36800 l1 0.3036 val 0.3068 0.10s/it
step 37000 l1 0.3005 val 0.3530 0.10s/it
step 37200 l1 0.3006 val 0.3054 0.10s/it
step 37400 l1 0.3039 val 0.3524 0.10s/it
step 37600 l1 0.3001 val 0.3580 0.10s/it
step 37800 l1 0.3104 val 0.3327 0.10s/it
step 38000 l1 0.3020 val 0.3581 0.10s/it
step 38200 l1 0.3031 val 0.3565 0.10s/it
step 38400 l1 0.2932 val 0.3758 0.10s/it
step 38600 l1 0.2944 val 0.3231 0.10s/it
step 38800 l1 0.3095 val 0.3567 0.10s/it
step 39000 l1 0.2975 val 0.3100 0.10s/it
step 39200 l1 0.3063 val 0.3303 0.10s/it
step 39400 l1 0.2965 val 0.3361 0.10s/it
step 39600 l1 0.3122 val 0.3546 0.10s/it
step 39800 l1 0.3008 val 0.3037 0.10s/it
step 40000 l1 0.3039 val 0.3063 0.10s/it
step 40200 l1 0.2977 val 0.3809 0.10s/it
step 40400 l1 0.2966 val 0.3516 0.10s/it
step 40600 l1 0.3042 val 0.3550 0.10s/it
step 40800 l1 0.2955 val 0.3044 0.10s/it
step 41000 l1 0.2966 val 0.3030 0.10s/it
step 41200 l1 0.3034 val 0.3046 0.10s/it
step 41400 l1 0.2926 val 0.3236 0.10s/it
step 41600 l1 0.3004 val 0.3562 0.10s/it
step 41800 l1 0.2917 val 0.3060 0.10s/it
step 42000 l1 0.2990 val 0.2976 0.10s/it
step 42200 l1 0.2947 val 0.3336 0.10s/it
step 42400 l1 0.2818 val 0.3529 0.10s/it
step 42600 l1 0.2974 val 0.3359 0.10s/it
step 42800 l1 0.3042 val 0.3314 0.10s/it
step 43000 l1 0.2975 val 0.3551 0.10s/it
step 43200 l1 0.2991 val 0.2985 0.10s/it
step 43400 l1 0.2964 val 0.4026 0.10s/it
step 43600 l1 0.2989 val 0.3781 0.10s/it
step 43800 l1 0.3048 val 0.3292 0.10s/it
step 44000 l1 0.2914 val 0.3572 0.10s/it
step 44200 l1 0.3012 val 0.3533 0.10s/it
step 44400 l1 0.2982 val 0.3037 0.10s/it
step 44600 l1 0.2945 val 0.3270 0.10s/it
step 44800 l1 0.2773 val 0.3336 0.10s/it
step 45000 l1 0.2836 val 0.3028 0.10s/it
step 45200 l1 0.2854 val 0.3013 0.10s/it
step 45400 l1 0.3010 val 0.3572 0.10s/it
step 45600 l1 0.2965 val 0.3060 0.10s/it
step 45800 l1 0.2994 val 0.2954 0.10s/it
step 46000 l1 0.3041 val 0.3309 0.10s/it
step 46200 l1 0.2963 val 0.3279 0.10s/it
step 46400 l1 0.2997 val 0.3747 0.10s/it
step 46600 l1 0.2865 val 0.3571 0.10s/it
step 46800 l1 0.3055 val 0.3025 0.10s/it
step 47000 l1 0.2949 val 0.3017 0.10s/it
step 47200 l1 0.2904 val 0.3231 0.10s/it
step 47400 l1 0.2937 val 0.3249 0.10s/it
step 47600 l1 0.3016 val 0.3524 0.10s/it
step 47800 l1 0.2881 val 0.3550 0.10s/it
step 48000 l1 0.2959 val 0.3606 0.10s/it
step 48200 l1 0.2984 val 0.3778 0.10s/it
step 48400 l1 0.2891 val 0.2920 0.10s/it
step 48600 l1 0.2918 val 0.3472 0.10s/it
step 48800 l1 0.3007 val 0.2931 0.10s/it
step 49000 l1 0.2993 val 0.3019 0.10s/it
step 49200 l1 0.3012 val 0.3294 0.10s/it
step 49400 l1 0.2880 val 0.3209 0.10s/it
step 49600 l1 0.2908 val 0.3405 0.10s/it
step 49800 l1 0.2930 val 0.3221 0.10s/it
step 50000 l1 0.2804 val 0.3242 0.10s/it
step 50200 l1 0.2877 val 0.3297 0.10s/it
step 50400 l1 0.2922 val 0.3231 0.10s/it
step 50600 l1 0.2863 val 0.3541 0.10s/it
step 50800 l1 0.2889 val 0.3585 0.10s/it
step 51000 l1 0.2908 val 0.2965 0.10s/it
step 51200 l1 0.2983 val 0.3285 0.10s/it
step 51400 l1 0.2944 val 0.3754 0.10s/it
step 51600 l1 0.2983 val 0.3326 0.10s/it
step 51800 l1 0.3004 val 0.3790 0.10s/it
step 52000 l1 0.3014 val 0.3309 0.10s/it
step 52200 l1 0.2906 val 0.3793 0.10s/it
step 52400 l1 0.2963 val 0.3790 0.10s/it
step 52600 l1 0.2959 val 0.3484 0.10s/it
step 52800 l1 0.2928 val 0.3213 0.10s/it
step 53000 l1 0.2918 val 0.3489 0.10s/it
step 53200 l1 0.3036 val 0.3517 0.10s/it
step 53400 l1 0.2883 val 0.3231 0.10s/it
step 53600 l1 0.2933 val 0.3585 0.10s/it
step 53800 l1 0.2853 val 0.3206 0.10s/it
step 54000 l1 0.2847 val 0.2979 0.10s/it
step 54200 l1 0.3086 val 0.3268 0.10s/it
step 54400 l1 0.2908 val 0.3252 0.10s/it
step 54600 l1 0.2880 val 0.3012 0.10s/it
step 54800 l1 0.2987 val 0.3496 0.10s/it
step 55000 l1 0.2919 val 0.3201 0.10s/it
step 55200 l1 0.2853 val 0.2960 0.10s/it
step 55400 l1 0.2919 val 0.3079 0.10s/it
step 55600 l1 0.2940 val 0.3260 0.10s/it
step 55800 l1 0.3007 val 0.3504 0.10s/it
step 56000 l1 0.2899 val 0.3187 0.10s/it
step 56200 l1 0.2834 val 0.3212 0.10s/it
step 56400 l1 0.2840 val 0.3193 0.10s/it
step 56600 l1 0.2895 val 0.3538 0.10s/it
step 56800 l1 0.2775 val 0.2981 0.10s/it
step 57000 l1 0.2925 val 0.3228 0.10s/it
step 57200 l1 0.2868 val 0.3778 0.10s/it
step 57400 l1 0.2981 val 0.3303 0.10s/it
step 57600 l1 0.3009 val 0.4041 0.10s/it
step 57800 l1 0.2976 val 0.2947 0.10s/it
step 58000 l1 0.2785 val 0.3007 0.10s/it
step 58200 l1 0.3056 val 0.3511 0.10s/it
step 58400 l1 0.2854 val 0.3198 0.10s/it
step 58600 l1 0.3000 val 0.2997 0.10s/it
step 58800 l1 0.2911 val 0.2981 0.10s/it
step 59000 l1 0.2834 val 0.3234 0.10s/it
step 59200 l1 0.2904 val 0.2963 0.10s/it
step 59400 l1 0.2885 val 0.3336 0.10s/it
step 59600 l1 0.3108 val 0.2999 0.10s/it
step 59800 l1 0.2817 val 0.3196 0.10s/it
step 60000 l1 0.2928 val 0.3284 0.10s/it
step 60200 l1 0.2838 val 0.3174 0.10s/it
step 60400 l1 0.2828 val 0.3236 0.10s/it
step 60600 l1 0.2915 val 0.2997 0.10s/it
step 60800 l1 0.2823 val 0.3223 0.10s/it
step 61000 l1 0.2860 val 0.3700 0.10s/it
step 61200 l1 0.2826 val 0.3529 0.10s/it
step 61400 l1 0.2942 val 0.3241 0.10s/it
step 61600 l1 0.2820 val 0.2962 0.10s/it
step 61800 l1 0.2940 val 0.2969 0.10s/it
step 62000 l1 0.2889 val 0.3679 0.10s/it
step 62200 l1 0.2977 val 0.3187 0.10s/it
step 62400 l1 0.2924 val 0.3527 0.10s/it
step 62600 l1 0.2810 val 0.3481 0.10s/it
step 62800 l1 0.2839 val 0.2901 0.10s/it
step 63000 l1 0.2820 val 0.2973 0.10s/it
step 63200 l1 0.2884 val 0.3467 0.10s/it
step 63400 l1 0.2938 val 0.3476 0.10s/it
step 63600 l1 0.2885 val 0.3987 0.10s/it
step 63800 l1 0.2934 val 0.2955 0.10s/it
step 64000 l1 0.2906 val 0.3785 0.10s/it
step 64200 l1 0.2848 val 0.3004 0.10s/it
step 64400 l1 0.2919 val 0.3963 0.10s/it
step 64600 l1 0.2977 val 0.3274 0.10s/it
step 64800 l1 0.2791 val 0.3190 0.10s/it
step 65000 l1 0.2806 val 0.2927 0.10s/it
step 65200 l1 0.2824 val 0.3723 0.10s/it
step 65400 l1 0.2833 val 0.3215 0.10s/it
step 65600 l1 0.2871 val 0.3491 0.10s/it
step 65800 l1 0.2819 val 0.3205 0.10s/it
step 66000 l1 0.2784 val 0.2994 0.10s/it
step 66200 l1 0.2898 val 0.3515 0.10s/it
step 66400 l1 0.2836 val 0.2973 0.09s/it
step 66600 l1 0.2932 val 0.3785 0.09s/it
step 66800 l1 0.2823 val 0.3504 0.09s/it
