ds2: 1750 train / 35 val (120 short items)
step 0 mel 0.5311 ema 0.5311 gloss 29.82 1.86s/it
step 100 mel 0.4491 ema 0.4840 gloss 22.92 1.28s/it
step 200 mel 0.4683 ema 0.4626 gloss 26.56 1.27s/it
step 300 mel 0.4566 ema 0.4635 gloss 27.34 1.28s/it
step 400 mel 0.4616 ema 0.4561 gloss 28.31 1.28s/it
step 500 mel 0.4796 ema 0.4610 gloss 28.92 1.28s/it
step 600 mel 0.4560 ema 0.4588 gloss 28.42 1.28s/it
step 700 mel 0.4438 ema 0.4575 gloss 27.81 1.28s/it
step 800 mel 0.4601 ema 0.4593 gloss 29.43 1.28s/it
step 900 mel 0.4697 ema 0.4585 gloss 28.23 1.28s/it
step 1000 mel 0.4777 ema 0.4632 gloss 29.88 1.28s/it
step 1100 mel 0.4474 ema 0.4598 gloss 27.38 1.28s/it
step 1200 mel 0.4524 ema 0.4622 gloss 30.21 1.28s/it
step 1300 mel 0.4930 ema 0.4593 gloss 28.81 1.28s/it
step 1400 mel 0.4701 ema 0.4578 gloss 29.58 1.27s/it
step 1500 mel 0.4448 ema 0.4564 gloss 28.02 1.27s/it
step 1600 mel 0.4583 ema 0.4614 gloss 29.04 1.27s/it
step 1700 mel 0.4881 ema 0.4643 gloss 29.39 1.27s/it
step 1800 mel 0.4547 ema 0.4597 gloss 26.69 1.26s/it
step 1900 mel 0.4527 ema 0.4612 gloss 28.88 1.26s/it
step 2000 mel 0.4536 ema 0.4587 gloss 28.73 1.26s/it
step 2100 mel 0.4376 ema 0.4598 gloss 28.75 1.26s/it
step 2200 mel 0.4565 ema 0.4595 gloss 29.00 1.26s/it
step 2300 mel 0.4803 ema 0.4593 gloss 29.71 1.26s/it
step 2400 mel 0.4537 ema 0.4604 gloss 29.47 1.26s/it
step 2500 mel 0.4676 ema 0.4592 gloss 29.88 1.26s/it
step 2600 mel 0.4551 ema 0.4584 gloss 29.30 1.26s/it
step 2700 mel 0.4616 ema 0.4591 gloss 29.87 1.26s/it
step 2800 mel 0.4403 ema 0.4604 gloss 28.47 1.26s/it
step 2900 mel 0.4586 ema 0.4575 gloss 30.49 1.25s/it
step 3000 mel 0.4416 ema 0.4577 gloss 28.19 1.25s/it
step 3100 mel 0.4724 ema 0.4585 gloss 30.13 1.25s/it
step 3200 mel 0.4475 ema 0.4607 gloss 29.34 1.25s/it
step 3300 mel 0.4518 ema 0.4588 gloss 29.27 1.25s/it
step 3400 mel 0.4584 ema 0.4566 gloss 30.67 1.25s/it
step 3500 mel 0.4630 ema 0.4580 gloss 29.94 1.25s/it
step 3600 mel 0.4676 ema 0.4590 gloss 30.86 1.25s/it
step 3700 mel 0.4516 ema 0.4583 gloss 28.38 1.25s/it
step 3800 mel 0.4430 ema 0.4555 gloss 27.61 1.25s/it
step 3900 mel 0.4500 ema 0.4583 gloss 30.27 1.25s/it
step 4000 mel 0.4403 ema 0.4563 gloss 30.02 1.25s/it
step 4100 mel 0.4437 ema 0.4564 gloss 29.44 1.25s/it
step 4200 mel 0.4491 ema 0.4563 gloss 30.07 1.25s/it
step 4300 mel 0.4538 ema 0.4552 gloss 30.79 1.25s/it
step 4400 mel 0.4589 ema 0.4564 gloss 30.43 1.25s/it
step 4500 mel 0.4605 ema 0.4545 gloss 29.47 1.25s/it
step 4600 mel 0.4459 ema 0.4581 gloss 29.03 1.25s/it
step 4700 mel 0.4366 ema 0.4581 gloss 29.62 1.25s/it
step 4800 mel 0.4500 ema 0.4567 gloss 28.11 1.25s/it
step 4900 mel 0.4479 ema 0.4526 gloss 29.39 1.25s/it
step 5000 mel 0.4568 ema 0.4535 gloss 29.55 1.25s/it
step 5100 mel 0.4413 ema 0.4506 gloss 28.84 1.25s/it
step 5200 mel 0.4506 ema 0.4496 gloss 29.75 1.25s/it
step 5300 mel 0.4633 ema 0.4548 gloss 29.67 1.25s/it
step 5400 mel 0.4527 ema 0.4538 gloss 28.75 1.25s/it
step 5500 mel 0.4642 ema 0.4541 gloss 30.01 1.25s/it
step 5600 mel 0.4412 ema 0.4529 gloss 28.50 1.25s/it
step 5700 mel 0.4420 ema 0.4532 gloss 31.45 1.25s/it
step 5800 mel 0.4819 ema 0.4535 gloss 30.77 1.25s/it
step 5900 mel 0.4450 ema 0.4538 gloss 30.46 1.25s/it
step 6000 mel 0.4523 ema 0.4533 gloss 29.02 1.26s/it
