ds2: 1750 train / 35 val (0 short items)
step 19800 loss 4.148 ema 4.251 val 4.334 0.06s/it
step 20000 loss 4.327 ema 4.252 val 4.347 0.06s/it
step 20200 loss 4.284 ema 4.249 val 4.337 0.06s/it
step 20400 loss 4.211 ema 4.247 val 4.374 0.06s/it
step 20600 loss 4.097 ema 4.254 val 4.396 0.06s/it
step 20800 loss 4.195 ema 4.251 val 4.281 0.06s/it
step 21000 loss 4.137 ema 4.246 val 4.435 0.06s/it
step 21200 loss 4.300 ema 4.239 val 4.334 0.06s/it
step 21400 loss 4.198 ema 4.263 val 4.399 0.06s/it
step 21600 loss 4.267 ema 4.231 val 4.263 0.06s/it
step 21800 loss 4.277 ema 4.237 val 4.279 0.06s/it
step 22000 loss 4.278 ema 4.239 val 4.441 0.06s/it
step 22200 loss 4.239 ema 4.237 val 4.345 0.06s/it
step 22400 loss 4.209 ema 4.224 val 4.334 0.06s/it
step 22600 loss 4.262 ema 4.234 val 4.225 0.06s/it
step 22800 loss 4.167 ema 4.232 val 4.392 0.06s/it
step 23000 loss 4.273 ema 4.225 val 4.382 0.06s/it
step 23200 loss 4.201 ema 4.221 val 4.352 0.06s/it
step 23400 loss 4.237 ema 4.228 val 4.411 0.06s/it
step 23600 loss 4.141 ema 4.215 val 4.373 0.06s/it
step 23800 loss 4.169 ema 4.218 val 4.247 0.06s/it
step 24000 loss 4.187 ema 4.213 val 4.423 0.06s/it
step 24200 loss 4.128 ema 4.205 val 4.401 0.06s/it
step 24400 loss 4.182 ema 4.223 val 4.338 0.06s/it
step 24600 loss 4.229 ema 4.209 val 4.295 0.06s/it
step 24800 loss 4.227 ema 4.208 val 4.279 0.06s/it
step 25000 loss 4.278 ema 4.214 val 4.347 0.06s/it
step 25200 loss 4.238 ema 4.207 val 4.308 0.06s/it
step 25400 loss 4.340 ema 4.210 val 4.445 0.06s/it
step 25600 loss 4.204 ema 4.199 val 4.374 0.06s/it
step 25800 loss 4.381 ema 4.218 val 4.442 0.06s/it
step 26000 loss 4.115 ema 4.196 val 4.276 0.06s/it
step 26200 loss 4.176 ema 4.195 val 4.354 0.06s/it
step 26400 loss 4.255 ema 4.195 val 4.341 0.06s/it
step 26600 loss 4.235 ema 4.207 val 4.411 0.06s/it
step 26800 loss 4.148 ema 4.184 val 4.343 0.06s/it
step 27000 loss 4.241 ema 4.183 val 4.396 0.06s/it
step 27200 loss 4.224 ema 4.194 val 4.468 0.06s/it
step 27400 loss 4.212 ema 4.190 val 4.502 0.06s/it
step 27600 loss 4.203 ema 4.202 val 4.242 0.06s/it
step 27800 loss 4.222 ema 4.177 val 4.313 0.06s/it
step 28000 loss 4.171 ema 4.182 val 4.243 0.06s/it
step 28200 loss 4.141 ema 4.185 val 4.377 0.06s/it
step 28400 loss 4.286 ema 4.194 val 4.379 0.06s/it
step 28600 loss 4.207 ema 4.188 val 4.478 0.06s/it
step 28800 loss 4.059 ema 4.177 val 4.361 0.06s/it
step 29000 loss 4.240 ema 4.182 val 4.277 0.06s/it
step 29200 loss 4.117 ema 4.184 val 4.383 0.06s/it
step 29400 loss 4.114 ema 4.178 val 4.454 0.06s/it
step 29600 loss 4.090 ema 4.178 val 4.339 0.06s/it
step 29800 loss 4.142 ema 4.167 val 4.366 0.06s/it
step 30000 loss 4.162 ema 4.167 val 4.430 0.06s/it
step 30200 loss 4.266 ema 4.167 val 4.334 0.06s/it
step 30400 loss 4.114 ema 4.158 val 4.365 0.06s/it
step 30600 loss 4.237 ema 4.177 val 4.191 0.06s/it
step 30800 loss 4.205 ema 4.175 val 4.234 0.06s/it
step 31000 loss 4.197 ema 4.173 val 4.346 0.06s/it
step 31200 loss 4.152 ema 4.174 val 4.290 0.06s/it
step 31400 loss 4.122 ema 4.162 val 4.286 0.06s/it
step 31600 loss 4.205 ema 4.163 val 4.247 0.06s/it
step 31800 loss 4.162 ema 4.164 val 4.342 0.06s/it
step 32000 loss 4.250 ema 4.157 val 4.288 0.06s/it
step 32200 loss 4.057 ema 4.149 val 4.325 0.06s/it
step 32400 loss 4.176 ema 4.150 val 4.289 0.06s/it
step 32600 loss 4.306 ema 4.146 val 4.403 0.06s/it
step 32800 loss 4.274 ema 4.151 val 4.524 0.06s/it
step 33000 loss 4.237 ema 4.142 val 4.293 0.06s/it
step 33200 loss 4.053 ema 4.148 val 4.381 0.06s/it
step 33400 loss 4.160 ema 4.159 val 4.355 0.06s/it
step 33600 loss 4.129 ema 4.156 val 4.243 0.06s/it
step 33800 loss 4.186 ema 4.159 val 4.310 0.06s/it
step 34000 loss 4.154 ema 4.155 val 4.331 0.06s/it
step 34200 loss 4.060 ema 4.148 val 4.203 0.06s/it
step 34400 loss 4.177 ema 4.137 val 4.264 0.06s/it
step 34600 loss 4.112 ema 4.152 val 4.453 0.06s/it
step 34800 loss 4.126 ema 4.145 val 4.344 0.06s/it
step 35000 loss 4.060 ema 4.151 val 4.398 0.06s/it
step 35200 loss 4.044 ema 4.140 val 4.315 0.06s/it
step 35400 loss 4.134 ema 4.148 val 4.350 0.06s/it
step 35600 loss 4.149 ema 4.145 val 4.385 0.06s/it
step 35800 loss 4.141 ema 4.134 val 4.349 0.06s/it
step 36000 loss 4.027 ema 4.142 val 4.383 0.06s/it
step 36200 loss 4.155 ema 4.136 val 4.309 0.06s/it
step 36400 loss 4.102 ema 4.151 val 4.389 0.06s/it
step 36600 loss 4.090 ema 4.147 val 4.482 0.06s/it
step 36800 loss 4.174 ema 4.146 val 4.232 0.06s/it
step 37000 loss 4.020 ema 4.139 val 4.291 0.06s/it
step 37200 loss 4.093 ema 4.126 val 4.231 0.06s/it
step 37400 loss 4.219 ema 4.144 val 4.374 0.06s/it
step 37600 loss 4.174 ema 4.145 val 4.413 0.06s/it
step 37800 loss 4.103 ema 4.127 val 4.297 0.06s/it
step 38000 loss 4.018 ema 4.141 val 4.291 0.06s/it
step 38200 loss 4.014 ema 4.128 val 4.290 0.06s/it
step 38400 loss 4.020 ema 4.126 val 4.219 0.06s/it
step 38600 loss 4.131 ema 4.126 val 4.263 0.06s/it
step 38800 loss 4.148 ema 4.122 val 4.286 0.06s/it
step 39000 loss 4.122 ema 4.125 val 4.187 0.06s/it
step 39200 loss 4.142 ema 4.130 val 4.376 0.06s/it
step 39400 loss 4.206 ema 4.135 val 4.298 0.06s/it
step 39600 loss 4.138 ema 4.123 val 4.392 0.06s/it
step 39800 loss 4.093 ema 4.131 val 4.333 0.06s/it
step 40000 loss 4.151 ema 4.133 val 4.257 0.06s/it
step 40200 loss 4.137 ema 4.123 val 4.197 0.06s/it
step 40400 loss 4.199 ema 4.124 val 4.370 0.06s/it
step 40600 loss 4.264 ema 4.137 val 4.258 0.06s/it
step 40800 loss 4.158 ema 4.123 val 4.434 0.06s/it
step 41000 loss 4.205 ema 4.133 val 4.412 0.06s/it
step 41200 loss 4.171 ema 4.111 val 4.273 0.06s/it
step 41400 loss 4.114 ema 4.114 val 4.246 0.06s/it
step 41600 loss 4.143 ema 4.131 val 4.232 0.06s/it
step 41800 loss 4.214 ema 4.131 val 4.359 0.06s/it
step 42000 loss 4.188 ema 4.133 val 4.265 0.06s/it
step 42200 loss 4.098 ema 4.120 val 4.287 0.06s/it
step 42400 loss 4.067 ema 4.118 val 4.330 0.06s/it
step 42600 loss 3.995 ema 4.118 val 4.237 0.06s/it
step 42800 loss 4.148 ema 4.120 val 4.178 0.06s/it
step 43000 loss 4.098 ema 4.118 val 4.294 0.06s/it
step 43200 loss 4.098 ema 4.111 val 4.411 0.06s/it
step 43400 loss 4.125 ema 4.108 val 4.365 0.06s/it
step 43600 loss 4.124 ema 4.113 val 4.277 0.06s/it
step 43800 loss 4.084 ema 4.122 val 4.338 0.06s/it
step 44000 loss 4.103 ema 4.118 val 4.417 0.06s/it
step 44200 loss 4.182 ema 4.112 val 4.424 0.06s/it
