dsx: 609 train / 12 val
step 26000 mel 0.3594 ema 0.3594 2.66s/it
step 26100 mel 0.3883 ema 0.3747 1.22s/it
step 26200 mel 0.3750 ema 0.3690 1.21s/it
step 26300 mel 0.3577 ema 0.3678 1.21s/it
step 26400 mel 0.3577 ema 0.3685 1.21s/it
step 26500 mel 0.3689 ema 0.3664 1.21s/it
step 26600 mel 0.3735 ema 0.3644 1.21s/it
step 26700 mel 0.3700 ema 0.3670 1.21s/it
step 26800 mel 0.3443 ema 0.3647 1.21s/it
step 26900 mel 0.3835 ema 0.3645 1.21s/it
step 27000 mel 0.3668 ema 0.3653 1.21s/it
step 27100 mel 0.3662 ema 0.3639 1.21s/it
step 27200 mel 0.3687 ema 0.3638 1.21s/it
step 27300 mel 0.3631 ema 0.3626 1.21s/it
step 27400 mel 0.3572 ema 0.3635 1.21s/it
step 27500 mel 0.3557 ema 0.3647 1.21s/it
step 27600 mel 0.3776 ema 0.3654 1.21s/it
step 27700 mel 0.3524 ema 0.3620 1.21s/it
step 27800 mel 0.3691 ema 0.3625 1.21s/it
step 27900 mel 0.3685 ema 0.3640 1.21s/it
step 28000 mel 0.3713 ema 0.3626 1.21s/it
step 28100 mel 0.3586 ema 0.3626 1.21s/it
step 28200 mel 0.3731 ema 0.3627 1.21s/it
step 28300 mel 0.3446 ema 0.3640 1.21s/it
step 28400 mel 0.3737 ema 0.3633 1.21s/it
step 28500 mel 0.3741 ema 0.3641 1.21s/it
step 28600 mel 0.3377 ema 0.3631 1.21s/it
step 28700 mel 0.3508 ema 0.3651 1.21s/it
step 28800 mel 0.3602 ema 0.3642 1.21s/it
step 28900 mel 0.3563 ema 0.3635 1.21s/it
step 29000 mel 0.3550 ema 0.3622 1.21s/it
step 29100 mel 0.3638 ema 0.3630 1.21s/it
step 29200 mel 0.3676 ema 0.3643 1.21s/it
step 29300 mel 0.3627 ema 0.3621 1.21s/it
step 29400 mel 0.3553 ema 0.3637 1.21s/it
step 29500 mel 0.3501 ema 0.3640 1.21s/it
step 29600 mel 0.3574 ema 0.3624 1.21s/it
step 29700 mel 0.3624 ema 0.3636 1.21s/it
step 29800 mel 0.3694 ema 0.3638 1.21s/it
step 29900 mel 0.3618 ema 0.3641 1.21s/it
step 30000 mel 0.3555 ema 0.3635 1.21s/it
step 30100 mel 0.3601 ema 0.3648 1.21s/it
step 30200 mel 0.3627 ema 0.3670 1.21s/it
step 30300 mel 0.3681 ema 0.3659 1.21s/it
step 30400 mel 0.3623 ema 0.3632 1.21s/it
step 30500 mel 0.3466 ema 0.3630 1.20s/it
step 30600 mel 0.3535 ema 0.3631 1.20s/it
step 30700 mel 0.3632 ema 0.3638 1.20s/it
step 30800 mel 0.3726 ema 0.3645 1.20s/it
step 30900 mel 0.3544 ema 0.3637 1.20s/it
step 31000 mel 0.3751 ema 0.3635 1.20s/it
step 31100 mel 0.3610 ema 0.3633 1.20s/it
step 31200 mel 0.3637 ema 0.3615 1.20s/it
step 31300 mel 0.3524 ema 0.3627 1.20s/it
step 31400 mel 0.3648 ema 0.3636 1.20s/it
