dsx: 609 train / 12 val
step 11400 mel 0.3710 ema 0.3733 1.24s/it
step 11500 mel 0.3680 ema 0.3739 1.24s/it
step 11600 mel 0.3645 ema 0.3719 1.24s/it
step 11700 mel 0.3799 ema 0.3719 1.24s/it
step 11800 mel 0.3762 ema 0.3730 1.24s/it
step 11900 mel 0.3935 ema 0.3721 1.24s/it
step 12000 mel 0.3753 ema 0.3721 1.24s/it
step 12100 mel 0.3835 ema 0.3711 1.24s/it
step 12200 mel 0.3579 ema 0.3726 1.24s/it
step 12300 mel 0.3718 ema 0.3728 1.24s/it
step 12400 mel 0.3744 ema 0.3728 1.24s/it
step 12500 mel 0.3681 ema 0.3722 1.24s/it
step 12600 mel 0.3819 ema 0.3714 1.24s/it
step 12700 mel 0.3980 ema 0.3720 1.24s/it
step 12800 mel 0.3810 ema 0.3726 1.24s/it
step 12900 mel 0.3649 ema 0.3721 1.24s/it
step 13000 mel 0.3525 ema 0.3726 1.24s/it
step 13100 mel 0.3502 ema 0.3722 1.24s/it
step 13200 mel 0.3724 ema 0.3722 1.24s/it
step 13300 mel 0.3812 ema 0.3720 1.24s/it
step 13400 mel 0.3692 ema 0.3707 1.24s/it
step 13500 mel 0.3606 ema 0.3713 1.24s/it
step 13600 mel 0.3676 ema 0.3703 1.24s/it
step 13700 mel 0.3723 ema 0.3700 1.24s/it
step 13800 mel 0.3598 ema 0.3710 1.24s/it
step 13900 mel 0.3856 ema 0.3703 1.24s/it
step 14000 mel 0.3692 ema 0.3717 1.24s/it
step 14100 mel 0.3697 ema 0.3712 1.24s/it
step 14200 mel 0.3838 ema 0.3712 1.24s/it
step 14300 mel 0.3659 ema 0.3718 1.24s/it
step 14400 mel 0.3661 ema 0.3718 1.24s/it
step 14500 mel 0.3813 ema 0.3695 1.24s/it
step 14600 mel 0.3751 ema 0.3702 1.24s/it
step 14700 mel 0.3724 ema 0.3703 1.24s/it
step 14800 mel 0.3682 ema 0.3699 1.24s/it
step 14900 mel 0.3744 ema 0.3696 1.24s/it
step 15000 mel 0.3824 ema 0.3698 1.24s/it
step 15100 mel 0.3727 ema 0.3733 1.24s/it
step 15200 mel 0.3696 ema 0.3721 1.23s/it
step 15300 mel 0.3784 ema 0.3705 1.23s/it
step 15400 mel 0.3807 ema 0.3698 1.23s/it
step 15500 mel 0.3656 ema 0.3709 1.23s/it
step 15600 mel 0.3751 ema 0.3717 1.23s/it
step 15700 mel 0.3798 ema 0.3715 1.23s/it
step 15800 mel 0.3700 ema 0.3693 1.23s/it
step 15900 mel 0.3761 ema 0.3699 1.23s/it
step 16000 mel 0.3803 ema 0.3700 1.23s/it
step 16100 mel 0.3608 ema 0.3709 1.23s/it
step 16200 mel 0.3600 ema 0.3711 1.23s/it
step 16300 mel 0.3783 ema 0.3712 1.23s/it
step 16400 mel 0.3678 ema 0.3700 1.23s/it
step 16500 mel 0.3717 ema 0.3700 1.23s/it
step 16600 mel 0.3827 ema 0.3703 1.23s/it
step 16700 mel 0.3899 ema 0.3687 1.23s/it
step 16800 mel 0.3720 ema 0.3681 1.23s/it
step 16900 mel 0.3739 ema 0.3681 1.23s/it
step 17000 mel 0.3864 ema 0.3689 1.23s/it
step 17100 mel 0.3626 ema 0.3704 1.23s/it
step 17200 mel 0.3790 ema 0.3706 1.23s/it
step 17300 mel 0.3669 ema 0.3700 1.23s/it
step 17400 mel 0.3747 ema 0.3689 1.23s/it
step 17500 mel 0.3762 ema 0.3715 1.23s/it
step 17600 mel 0.3651 ema 0.3710 1.23s/it
step 17700 mel 0.3685 ema 0.3705 1.23s/it
step 17800 mel 0.3634 ema 0.3688 1.23s/it
step 17900 mel 0.3733 ema 0.3676 1.23s/it
step 18000 mel 0.3552 ema 0.3687 1.23s/it
step 18100 mel 0.3660 ema 0.3705 1.23s/it
step 18200 mel 0.3747 ema 0.3689 1.23s/it
step 18300 mel 0.3590 ema 0.3692 1.23s/it
step 18400 mel 0.3801 ema 0.3688 1.23s/it
step 18500 mel 0.3703 ema 0.3680 1.23s/it
step 18600 mel 0.3767 ema 0.3707 1.23s/it
step 18700 mel 0.3651 ema 0.3681 1.23s/it
step 18800 mel 0.3790 ema 0.3693 1.23s/it
step 18900 mel 0.3674 ema 0.3687 1.23s/it
step 19000 mel 0.3661 ema 0.3684 1.23s/it
step 19100 mel 0.3789 ema 0.3700 1.23s/it
step 19200 mel 0.3546 ema 0.3683 1.23s/it
step 19300 mel 0.3738 ema 0.3679 1.23s/it
step 19400 mel 0.3628 ema 0.3671 1.23s/it
step 19500 mel 0.3520 ema 0.3691 1.23s/it
step 19600 mel 0.3540 ema 0.3692 1.23s/it
step 19700 mel 0.3693 ema 0.3702 1.23s/it
step 19800 mel 0.3754 ema 0.3700 1.23s/it
step 19900 mel 0.3461 ema 0.3677 1.23s/it
step 20000 mel 0.3590 ema 0.3674 1.23s/it
step 20100 mel 0.3702 ema 0.3681 1.23s/it
step 20200 mel 0.3697 ema 0.3684 1.23s/it
step 20300 mel 0.3641 ema 0.3676 1.23s/it
step 20400 mel 0.3868 ema 0.3688 1.23s/it
step 20500 mel 0.3657 ema 0.3667 1.23s/it
step 20600 mel 0.3786 ema 0.3712 1.23s/it
